CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,0,19,0,678,2433,0.24,23,1,13,4,2,4,0
2,1,17,0,713,2637,0.233,23,5,17,3,2,14,0
1,1,14,0,658,2552,0.279,23,2,7,5,1,3,0
0,0,4,0,535,2140,0.223,19,1,10,2,1,5,0
2,2,12,0,653,2457,0.25,23,2,9,3,0,4,0
0,0,17,0,715,2477,0.263,27,1,13,2,0,1,0
1,0,18,0,739,2746,0.265,31,2,18,5,2,3,0
3,0,18,0,856,3139,0.267,28,1,19,2,0,4,1
1,1,12,0,551,2139,0.259,16,0,15,1,1,2,0
6,1,11,0,623,2416,0.237,19,0,14,5,1,10,1
0,0,17,0,848,3121,0.269,26,5,12,3,0,3,0
0,0,13,0,704,2820,0.253,27,2,15,9,6,3,0
0,0,8,0,554,1863,0.303,20,0,9,4,0,1,0
0,0,8,0,561,2252,0.253,22,3,12,4,0,10,1
1,0,8,0,599,2326,0.294,24,3,12,6,0,6,1
